Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J2770,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Included rule,,,,,,,Yes
,,,HCPCS,J2779,"Injection, ranibizumab, via intravitreal implant (susvimo), 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J2501,"Injection, paricalcitol, 1 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J2704,"Injection, propofol, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0160,"Dextroamphetamine sulfate, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0088,"Imatinib, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0081,"Injection, piperacillin sodium, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,S0078,"Injection, fosphenytoin sodium, 750 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q4213,"Ascent, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q4171,"Interfyl, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",Included rule,,,,,,,Yes
,,,HCPCS,Q0515,"Injection, sermorelin acetate, 1 microgram",Included rule,,,,,,,Yes
,,,HCPCS,Q0224,"Injection, pemivibart, for the pre-exposure prophylaxis only, for certain adults and adolescents (12 years of age and older weighing at least 40 kg) with no known sars-cov-2 exposure, and who either have moderate-to-severe immune compromise due to a medical condition or receipt of immunosuppressive medications or treatments, and are unlikely to mount an adequate immune response to covid-19 vaccination, 4500 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q0166,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Included rule,,,,,,,Yes
,,,HCPCS,Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Included rule,,,,,,,Yes
,,,HCPCS,Q0180,"Dolasetron mesylate, 100 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Included rule,,,,,,,Yes
,,,HCPCS,J3304,"Injection, triamcinolone acetonide, preservative-free, extended-release, microsphere formulation, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9342,"Injection, thiotepa, not otherwise specified, 1 mg",Included rule,,,,,,,Yes
